Type,Name,Price,Build,Suggested_price
GPU,,,Daniel Christensson,
CPU,,,Daniel Christensson,
CPU fan,,,Daniel Christensson,
Motherboard,,,Daniel Christensson,
RAM,,,Daniel Christensson,
SSD,,,Daniel Christensson,
HDD,,,Daniel Christensson,
PSU,,,Daniel Christensson,
Case,,,Daniel Christensson,
WiFi Card,,,Daniel Christensson,
SATA kabler,,,Daniel Christensson,
"Keyboard +
Mouse",,,Daniel Christensson,
Mouse mat,,,Daniel Christensson,
Cooler +,,,Daniel Christensson,
GPU +,,,Daniel Christensson,
m.2SSD,,,Daniel Christensson,
RGB,,,Daniel Christensson,
Fans,,,Daniel Christensson,
Bluetooth,,,Daniel Christensson,
